Image,SSIM (Blurry),SSIM (Student)
0040_1024_0.jpg,0.9202,0.9172
0040_1024_1024.jpg,0.8,0.7976
0040_1024_1280.jpg,0.9366,0.9336
0040_1024_1536.jpg,0.9355,0.9329
0040_1024_256.jpg,0.8563,0.8501
0040_1024_512.jpg,0.879,0.8759
0040_1024_768.jpg,0.8956,0.8937
0040_256_0.jpg,0.9591,0.9587
0040_256_1024.jpg,0.9596,0.9581
0040_256_1280.jpg,0.9561,0.954
0040_256_1536.jpg,0.9517,0.9488
0040_256_256.jpg,0.9517,0.9501
0040_256_512.jpg,0.9559,0.9532
0040_256_768.jpg,0.9569,0.9564
0040_512_0.jpg,0.9579,0.9565
0040_512_1024.jpg,0.9484,0.9522
0040_512_1280.jpg,0.9558,0.9536
0040_512_1536.jpg,0.9501,0.9512
0040_512_256.jpg,0.9484,0.9487
0040_512_512.jpg,0.8783,0.8724
0040_512_768.jpg,0.8704,0.8704
0040_768_0.jpg,0.9595,0.9588
0040_768_1024.jpg,0.7293,0.7208
0040_768_1280.jpg,0.9523,0.9519
0040_768_1536.jpg,0.9496,0.9517
0040_768_256.jpg,0.7747,0.7687
0040_768_512.jpg,0.7627,0.736
0040_768_768.jpg,0.749,0.7423
0050_0_0.jpg,0.6023,0.5954
0050_0_1024.jpg,0.8571,0.8553
0050_0_1280.jpg,0.8766,0.8648
0050_0_1536.jpg,0.844,0.8336
0050_0_256.jpg,0.7904,0.7918
0050_0_512.jpg,0.8231,0.8146
0050_0_768.jpg,0.7713,0.7679
0050_1024_0.jpg,0.8751,0.865
0050_1024_1024.jpg,0.7868,0.7499
0050_1024_1280.jpg,0.8229,0.7839
0050_1024_1536.jpg,0.8537,0.8486
0050_1024_256.jpg,0.8082,0.7966
0050_1024_512.jpg,0.7693,0.7602
0050_1024_768.jpg,0.7863,0.7812
0050_256_0.jpg,0.8352,0.833
0050_256_1024.jpg,0.9144,0.9077
0050_256_1280.jpg,0.8915,0.8814
0050_256_1536.jpg,0.8795,0.8723
0050_256_256.jpg,0.8296,0.8319
0050_256_512.jpg,0.866,0.8595
0050_256_768.jpg,0.9048,0.8935
0050_512_0.jpg,0.8421,0.8395
0050_512_1024.jpg,0.8199,0.8116
0050_512_1280.jpg,0.8292,0.8291
0050_512_1536.jpg,0.8068,0.796
0050_512_256.jpg,0.8232,0.8195
0050_512_512.jpg,0.8226,0.8171
0050_512_768.jpg,0.9277,0.9155
0050_768_0.jpg,0.8687,0.8609
0050_768_1024.jpg,0.8274,0.7481
0050_768_1280.jpg,0.8422,0.7886
0050_768_1536.jpg,0.874,0.8635
0050_768_256.jpg,0.8329,0.8254
0050_768_512.jpg,0.7942,0.7893
0050_768_768.jpg,0.7999,0.7965
0064_0_0.jpg,0.9872,0.979
0064_0_1024.jpg,0.989,0.9791
0064_0_1280.jpg,0.9894,0.9816
0064_0_1536.jpg,0.9864,0.977
0064_0_256.jpg,0.9636,0.9562
0064_0_512.jpg,0.9846,0.9751
0064_0_768.jpg,0.9851,0.9743
0064_1024_0.jpg,0.9889,0.9828
0064_1024_1024.jpg,0.982,0.9762
0064_1024_1280.jpg,0.9885,0.9759
0064_1024_1536.jpg,0.9904,0.9735
0064_1024_256.jpg,0.9901,0.9742
0064_1024_512.jpg,0.9863,0.9693
0064_1024_768.jpg,0.9698,0.9563
0064_256_0.jpg,0.9503,0.9432
0064_256_1024.jpg,0.9632,0.9476
0064_256_1280.jpg,0.9783,0.9715
0064_256_1536.jpg,0.9742,0.9633
0064_256_256.jpg,0.9857,0.9734
0064_256_512.jpg,0.9247,0.8995
0064_256_768.jpg,0.8875,0.8554
0064_512_0.jpg,0.97,0.9554
0064_512_1024.jpg,0.9494,0.9331
0064_512_1280.jpg,0.9585,0.9498
0064_512_1536.jpg,0.9819,0.9712
0064_512_256.jpg,0.9779,0.9587
0064_512_512.jpg,0.9182,0.8788
0064_512_768.jpg,0.886,0.7897
0064_768_0.jpg,0.989,0.9813
0064_768_1024.jpg,0.8965,0.8837
0064_768_1280.jpg,0.9787,0.9635
0064_768_1536.jpg,0.9898,0.9754
0064_768_256.jpg,0.979,0.9701
0064_768_512.jpg,0.8766,0.8485
0064_768_768.jpg,0.822,0.8025
0066_0_0.jpg,0.9519,0.9455
0066_0_1024.jpg,0.8598,0.8508
0066_0_1280.jpg,0.7943,0.7822
0066_0_1536.jpg,0.8643,0.8508
0066_0_256.jpg,0.9431,0.9345
0066_0_512.jpg,0.9639,0.9555
0066_0_768.jpg,0.9756,0.9656
0066_1024_0.jpg,0.7293,0.7172
0066_1024_1024.jpg,0.7568,0.7288
0066_1024_1280.jpg,0.7241,0.7084
0066_1024_1536.jpg,0.5728,0.5614
0066_1024_256.jpg,0.7365,0.7283
0066_1024_512.jpg,0.6576,0.6486
0066_1024_768.jpg,0.7515,0.7283
0066_256_0.jpg,0.9626,0.9548
0066_256_1024.jpg,0.8646,0.8483
0066_256_1280.jpg,0.6117,0.602
0066_256_1536.jpg,0.615,0.6093
0066_256_256.jpg,0.7764,0.7698
0066_256_512.jpg,0.6121,0.5988
0066_256_768.jpg,0.6536,0.6427
0066_512_0.jpg,0.7553,0.7451
0066_512_1024.jpg,0.7421,0.7262
0066_512_1280.jpg,0.6567,0.6504
0066_512_1536.jpg,0.6246,0.6188
0066_512_256.jpg,0.5542,0.5478
0066_512_512.jpg,0.5648,0.5569
0066_512_768.jpg,0.563,0.5536
0066_768_0.jpg,0.6453,0.6356
0066_768_1024.jpg,0.8186,0.7927
0066_768_1280.jpg,0.7146,0.7029
0066_768_1536.jpg,0.526,0.5165
0066_768_256.jpg,0.6397,0.633
0066_768_512.jpg,0.6574,0.6432
0066_768_768.jpg,0.8819,0.8546
0067_0_0.jpg,0.8199,0.8284
0067_0_1024.jpg,0.863,0.8557
0067_0_1280.jpg,0.8491,0.8509
0067_0_1536.jpg,0.8078,0.8165
0067_0_256.jpg,0.7857,0.7826
0067_0_512.jpg,0.8193,0.8137
0067_0_768.jpg,0.7752,0.7604
0067_1024_0.jpg,0.8251,0.8134
0067_1024_1024.jpg,0.8333,0.8189
0067_1024_1280.jpg,0.8474,0.8401
0067_1024_1536.jpg,0.8491,0.8374
0067_1024_256.jpg,0.829,0.8186
0067_1024_512.jpg,0.8646,0.8533
0067_1024_768.jpg,0.8631,0.8516
0067_256_0.jpg,0.8218,0.8303
0067_256_1024.jpg,0.8104,0.8055
0067_256_1280.jpg,0.7932,0.7883
0067_256_1536.jpg,0.818,0.8213
0067_256_256.jpg,0.7554,0.7513
0067_256_512.jpg,0.8177,0.8141
0067_256_768.jpg,0.8163,0.81
0067_512_0.jpg,0.8263,0.835
0067_512_1024.jpg,0.7936,0.79
0067_512_1280.jpg,0.788,0.7727
0067_512_1536.jpg,0.8261,0.821
0067_512_256.jpg,0.79,0.7888
0067_512_512.jpg,0.8329,0.825
0067_512_768.jpg,0.7419,0.7361
0067_768_0.jpg,0.8274,0.8321
0067_768_1024.jpg,0.7689,0.7641
0067_768_1280.jpg,0.8253,0.8215
0067_768_1536.jpg,0.8648,0.8587
0067_768_256.jpg,0.7963,0.8039
0067_768_512.jpg,0.804,0.799
0067_768_768.jpg,0.8272,0.8189
0068_0_0.jpg,0.9845,0.9716
0068_0_1024.jpg,0.9851,0.9803
0068_0_1280.jpg,0.9872,0.9726
0068_0_1536.jpg,0.9893,0.9847
0068_0_256.jpg,0.982,0.9584
0068_0_512.jpg,0.9711,0.9612
0068_0_768.jpg,0.989,0.9841
0068_1024_0.jpg,0.9701,0.9565
